"TIPO CAPACITACIÓN (CURSO, TALLER)","MODALIDAD (PRESENCIAL, VIRTUAL)",TEMÁTICA DEL CURSO O TALLER,COMPONENTE SNA,FECHA DE REALIZACIÓN,Mes,Trimestre,Género,Edad,Nivel de Gobierno (de la entidad),Departamento (donde se ubica la entidad - UE),¿A qué sector pertenece su entidad?,Área donde labora en la entidad,Puesto que ocupa en la entidad,Las funciones / actividades principales que desarrolla en el puesto están relacionadas a:,Estudios,¿CUÁL ES SU MODALIDAD DE CONTRATACIÓN EN LA ENTIDAD?,Nombre de la entidad (Unidad Ejecutora),Codigo UE,persona_id
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Femenino,Entre 31 y 40 años,Local,Junín,Gobiernos Locales,Logística,Jefe,"Planeamiento y Programación, Gestión de Adquisiciones, Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles, Otras actividades",Superior Universitario,No especificado,MUNICIPALIDAD DISTRITAL DE HUÁCHAC,301121,2af218930b74
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Femenino,Entre 20 y 30 años,Nacional,Junín,Agricultura y Riego,Abastecimiento,Asistente,"Planeamiento y Programación, Gestión de Adquisiciones",Superior Universitario,No especificado,ESTACIÓN EXPERIMENTAL AGRARIA SANTA ANA JUNÍN,1449,406b02dd6c31
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Masculino,No especificado,Local,Junín,Gobiernos Locales,Abastecimiento,Asistente,No especificado,No especificado,No especificado,MUNICIPALIDAD DISTRITAL DE EL TAMBO,301012,d514a5d77e84
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Femenino,Entre 20 y 30 años,Regional,Junín,Educación,Especialista Siga,Especialista,Otras actividades,Superior Universitario,No especificado,UNIDAD DE GESTIÓN EDUCATIVA DE SATIPO CHANCHAMAYO,1112,ff62f0f47421
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Masculino,Entre 41 y 50 años,Local,Junín,Gobiernos Locales,Logística,Jefe,Gestión de Adquisiciones,Superior Universitario,No especificado,MUNICIPALIDAD DISTRITAL DE HUASAHUASI,301101,7fc70c89788e
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Masculino,No especificado,Local,Junín,Gobiernos Locales,Alcaldia,Alcalde,No especificado,No especificado,No especificado,MUNICIPALIDAD DISTRITAL DE COMAS,301036,40c47559f2da
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Femenino,Entre 31 y 40 años,Local,Junín,Gobiernos Locales,Abastecimiento,Jefe,Otras actividades,Superior Universitario,No especificado,MUNICIPALIDAD DISTRITAL DE CURICACA,301057,f974ecac663e
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Masculino,Entre 31 y 40 años,Nacional,Junín,Justicia y Derechos Humanos,Abastecimiento,Auxiliar,"Planeamiento y Programación, Gestión de Adquisiciones, Administración de Bienes Muebles - Almacenamiento y Distribución, Otras actividades",Superior Universitario,No especificado,ZONA REGISTRAL NRO VIII - SEDE HUANCAYO,972,3a2251fe558a
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Femenino,Entre 20 y 30 años,Local,Junín,Gobiernos Locales,Abastecimiento,Jefe,"Gestión de Adquisiciones, Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,No especificado,MUNICIPALIDAD DISTRITAL DE MATAHUASI,301040,30545193ebb9
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Femenino,Entre 31 y 40 años,Regional,Pasco,Educación,Abastecimiento,Especialista,"Gestión de Adquisiciones, Otras actividades",Superior Universitario,No especificado,UNIDAD EJECUTORA - EDUCACIÓN PUERTO BERMÚDEZ,1725,2568b5993d78
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Femenino,Entre 20 y 30 años,Local,Junín,Gobiernos Locales,Abastecimiento,Jefe,Gestión de Adquisiciones,Superior No Universitario,No especificado,MUNICIPALIDAD DISTRITAL DE COCHAS,301035,d8952ee5c896
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Femenino,Entre 20 y 30 años,Regional,Pasco,Educación,Almacén,Jefe,Administración de Bienes Muebles - Almacenamiento y Distribución,Superior Universitario,No especificado,UNIDAD EJECUTORA - EDUCACIÓN PUERTO BERMÚDEZ,1725,a19b048c8e50
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Femenino,Entre 31 y 40 años,Nacional,Junín,Poder Judicial,Logística,Auxiliar Administrativo,Otras actividades,Superior Universitario,No especificado,CORTE SUPERIOR DE JUSTICIA DE JUNÍN,1416,5b05295a2e09
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Masculino,Entre 41 y 50 años,Local,Junín,Gobiernos Locales,Abastecimiento,Sub Gerente,Gestión de Adquisiciones,Superior Universitario,No especificado,MUNICIPALIDAD PROVINCIAL DE JAUJA,301052,6ec277bc3e91
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Femenino,Entre 31 y 40 años,Local,Junín,Gobiernos Locales,Abastecimiento,Jefe,"Planeamiento y Programación, Gestión de Adquisiciones, Administración de Bienes Muebles - Almacenamiento y Distribución",Superior Universitario,No especificado,MUNICIPALIDAD DISTRITAL DE NUEVE DE JULIO,301042,1c2864b490ca
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Femenino,No especificado,Local,Junín,Gobiernos Locales,Tesoreria,No especificado,No especificado,No especificado,No especificado,MUNICIPALIDAD DISTRITAL DE CURICACA,301057,f31ca5ac941b
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Masculino,Entre 31 y 40 años,Local,Junín,Gobiernos Locales,Programación,Jefe,Planeamiento y Programación,Superior Universitario,No especificado,MUNICIPALIDAD PROVINCIAL DE TARMA,301098,88472ad26353
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Femenino,No especificado,Local,Junín,Gobiernos Locales,Logística,Jefe,No especificado,No especificado,No especificado,MUNICIPALIDAD DISTRITAL DE QUICHUAY,301022,99332cb3f522
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Femenino,Entre 31 y 40 años,Regional,Junín,Salud,Programación,Coordinador,Planeamiento y Programación,Superior Universitario,No especificado,REGIÓN JUNÍN SALUD TARMA,827,9ee02383be97
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Femenino,Entre 31 y 40 años,Nacional,Junín,Poder Judicial,Logística,Asistente,Otras actividades,Superior No Universitario,No especificado,DIRECCIÓN REGIONAL CENTRO HUANCAYO DEL INPE,21,61ec7c3c4332
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Femenino,Entre 51 y 60 años,Regional,Junín,Educación,Unidad De Gestion Institucional,Especialista,Planeamiento y Programación,Superior Universitario,No especificado,UNIDAD EJECUTORA - EDUCACIÓN JAUJA,1609,430ccc561a23
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Femenino,No especificado,Regional,Junín,Salud,Logística,Programador,No especificado,No especificado,No especificado,UNIDAD EJECUTORA INSTITUTO REGIONAL DE ENFERMEDADES NEOPLÁSICAS DEL CENTRO - IREN CENTRO,1735,b1451e2bf47e
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Masculino,Entre 41 y 50 años,Nacional,Pasco,Agricultura y Riego,Jefe Zonal,Jefe,Otras actividades,Superior Universitario,No especificado,PROYECTO ESPECIAL PICHIS PALCAZU,1334,0457ec7ce4d1
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Masculino,Entre 20 y 30 años,Local,Junín,Gobiernos Locales,Logística,Especialista,Otras actividades,Superior No Universitario,No especificado,MUNICIPALIDAD DISTRITAL DE PICHANAQUI,301048,a51a32e2a7f5
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Femenino,Entre 20 y 30 años,Local,Junín,Otros,Abastecimiento,Jefe,Otras actividades,Superior Universitario,No especificado,MUNICIPALIDAD DISTRITAL DE MITO,301041,a836819d2b1b
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Femenino,No especificado,Nacional,Junín,Educación,Escalafon,Jefa,No especificado,No especificado,No especificado,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ (UNCP),95,493b9d1a7955
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Femenino,No especificado,Local,Pasco,Gobiernos Locales,Logística,Jefe,No especificado,No especificado,No especificado,MUNICIPALIDAD DISTRITAL DE NINACACA,301505,9fc8b1231b33
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Femenino,Entre 20 y 30 años,Regional,Pasco,Educación,Abastecimiento,Especialista,"Planeamiento y Programación, Gestión de Adquisiciones, Administración de Bienes Muebles - Almacenamiento y Distribución",Superior Universitario,No especificado,UNIDAD DE GESTIÓN EDUCATIVA DE OXAPAMPA,1113,656243a3d5a8
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Femenino,No especificado,Nacional,Junín,Educación,Imagen Institucional,Asistente,No especificado,No especificado,No especificado,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ (UNCP),95,ce7e8262517d
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Masculino,Entre 41 y 50 años,Regional,Junín,Educación,Abastecimiento,Especialista,Gestión de Adquisiciones,Superior Universitario,No especificado,UNIDAD EJECUTORA - EDUCACIÓN CONCEPCIÓN,1607,5cc181d75614
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Masculino,No especificado,Local,Pasco,Gobiernos Locales,Administración,Gerente,No especificado,No especificado,No especificado,MUNICIPALIDAD DISTRITAL DE PAUCARTAMBO,301507,f639025632b3
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Femenino,Entre 31 y 40 años,Local,Junín,Gobiernos Locales,Abastecimiento,Jefe,"Planeamiento y Programación, Gestión de Adquisiciones, Administración de Bienes Muebles - Patrimonio",Superior Universitario,No especificado,MUNICIPALIDAD DISTRITAL DE HUAYHUAY,301110,b2a94634c99b
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Femenino,Entre 31 y 40 años,Regional,Junín,Educación,Administración,Director,Otras actividades,Superior Universitario,No especificado,UNIDAD EJECUTORA - EDUCACIÓN PICHANAKI,1678,261d77d48a49
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Femenino,Entre 20 y 30 años,Local,Junín,Gobiernos Locales,Abastecimiento,Jefe,"Planeamiento y Programación, Gestión de Adquisiciones",Superior Universitario,No especificado,MUNICIPALIDAD DISTRITAL DE HEROÍNAS TOLEDO,301037,84feec983367
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Masculino,Entre 41 y 50 años,Local,Junín,Gobiernos Locales,Abastecimiento,Especialista,Administración de Bienes Muebles - Patrimonio,Superior Universitario,No especificado,MUNICIPALIDAD DISTRITAL DE NUEVE DE JULIO,301042,82754e58177a
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Femenino,Entre 31 y 40 años,Local,Junín,Gobiernos Locales,Logística,Asistente,Otras actividades,Superior Universitario,No especificado,MUNICIPALIDAD DISTRITAL DE HUASAHUASI,301101,8385a91acced
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Masculino,Entre 31 y 40 años,Local,Junín,Gobiernos Locales,Abastecimiento,Jefe,"Gestión de Adquisiciones, Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior No Universitario,No especificado,MUNICIPALIDAD DISTRITAL DE HUARICOLCA,301100,6db533280af7
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Femenino,No especificado,Nacional,Junín,Educación,P. Social,Asistente,No especificado,No especificado,No especificado,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ (UNCP),95,d431bc755120
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Femenino,Entre 31 y 40 años,Local,Junín,Gobiernos Locales,Abastecimiento,Jefe,"Gestión de Adquisiciones, Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio",Superior No Universitario,No especificado,MUNICIPALIDAD DISTRITAL DE MASMA,301067,196504c3a122
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Femenino,No especificado,Local,Junín,Gobiernos Locales,Subgerencia De Obras De Desarrollo,Asistente Técnica,No especificado,No especificado,No especificado,MUNICIPALIDAD DISTRITAL DE SAÑO,301026,8c3c233a907c
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Masculino,Entre 41 y 50 años,Regional,Junín,Salud,Logística,Coordinador,Otras actividades,Superior Universitario,No especificado,RED DE SALUD JAUJA,826,1d3d968a365b
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Femenino,Entre 31 y 40 años,Local,Junín,Gobiernos Locales,Abastecimiento,Jefe,"Gestión de Adquisiciones, Administración de Bienes Muebles - Patrimonio",Superior Universitario,No especificado,MUNICIPALIDAD DISTRITAL DE CHUPURO,301009,4be7d6275a36
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Femenino,No especificado,Local,Junín,Gobiernos Locales,Abastecimiento,Abastecimiento,No especificado,No especificado,No especificado,MUNICIPALIDAD DISTRITAL DE HUALHUAS,301014,a61f275abf20
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Femenino,Entre 31 y 40 años,Regional,Junín,Producción,Programación,Coordinador,"Planeamiento y Programación, Gestión de Adquisiciones, Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,No especificado,DIRECCIÓN REGIONAL DE PRODUCCIÓN DE JUNÍN,819,d6b40770ef1a
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Masculino,Entre 41 y 50 años,Regional,Junín,Salud,Abastecimiento,Coordinador,Planeamiento y Programación,Superior Universitario,No especificado,UNIDAD EJECUTORA RED DE SALUD PICHANAKI,1612,5ff86c449b1f
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Femenino,No especificado,Regional,Junín,Educación,Abastecimiento,Asistente,No especificado,No especificado,No especificado,UNIDAD EJECUTORA - EDUCACIÓN CONCEPCIÓN,1607,d59d5f818f32
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Junín","Programación Multianual de Bienes, Servicios y Obras",2026-04-22,2026-04,II Trimestre,Femenino,Entre 41 y 50 años,Local,Junín,Gobiernos Locales,Programación,Coordinador,Planeamiento y Programación,Superior Universitario,No especificado,MUNICIPALIDAD DISTRITAL DE INGENIO,301018,5b32e1fec971
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Puno","Programación Multianual de Bienes, Servicios y Obras",2026-04-30,2026-04,II Trimestre,Masculino,Entre 31 y 40 años,Regional,Puno,Educación,Abastecimiento,Especialista,Planeamiento y Programación,Superior Universitario,No especificado,UNIDAD DE GESTIÓN EDUCATIVA LOCAL DE CHUCUITO,1054,a06aa8f6bf07
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Puno","Programación Multianual de Bienes, Servicios y Obras",2026-04-30,2026-04,II Trimestre,Femenino,Entre 20 y 30 años,Regional,Puno,Salud,Programación,Asistente,Planeamiento y Programación,Superior Universitario,No especificado,RED DE SALUD EL COLLAO,968,e124341e07de
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Puno","Programación Multianual de Bienes, Servicios y Obras",2026-04-30,2026-04,II Trimestre,Femenino,No especificado,Local,Puno,Gobiernos Locales,Logística,Residente Siga,No especificado,No especificado,No especificado,MUNICIPALIDAD PROVINCIAL DE PUNO,301593,e9ee00bdeaad
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Puno","Programación Multianual de Bienes, Servicios y Obras",2026-04-30,2026-04,II Trimestre,Masculino,Entre 20 y 30 años,Regional,Puno,Salud,Logística,Especialista,Gestión de Adquisiciones,Superior Universitario,No especificado,RED DE SALUD DE YUNGUYO,967,1e3b35b83143
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Puno","Programación Multianual de Bienes, Servicios y Obras",2026-04-30,2026-04,II Trimestre,Femenino,No especificado,Local,Puno,Gobiernos Locales,Oci,Especialista,No especificado,No especificado,No especificado,MUNICIPALIDAD PROVINCIAL DE PUNO,301593,264df9130c0c
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Puno","Programación Multianual de Bienes, Servicios y Obras",2026-04-30,2026-04,II Trimestre,Masculino,Entre 41 y 50 años,Local,Puno,Gobiernos Locales,Abastecimiento,Jefe,Gestión de Adquisiciones,Superior Universitario,No especificado,MUNICIPALIDAD PROVINCIAL DE HUANCANÉ,301645,29b234d98ab6
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Puno","Programación Multianual de Bienes, Servicios y Obras",2026-04-30,2026-04,II Trimestre,Femenino,Entre 20 y 30 años,Regional,Puno,Salud,Logística,Asistente,"Planeamiento y Programación, Gestión de Adquisiciones",Superior Universitario,No especificado,RED DE SALUD HUANCANÉ,918,f57ef2b9fce8
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Puno","Programación Multianual de Bienes, Servicios y Obras",2026-04-30,2026-04,II Trimestre,Femenino,Entre 20 y 30 años,Local,Puno,Gobiernos Locales,Abastecimiento,Jefe,Otras actividades,Superior Universitario,No especificado,MUNICIPALIDAD DISTRITAL DE ANAPIA,301695,83a5ff655ed8
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Puno","Programación Multianual de Bienes, Servicios y Obras",2026-04-30,2026-04,II Trimestre,Masculino,No especificado,Local,Puno,Gobiernos Locales,Presupuesto,No especificado,No especificado,No especificado,No especificado,MUNICIPALIDAD DISTRITAL DE PAUCARCOLLA,301602,f6564ce65951
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Puno","Programación Multianual de Bienes, Servicios y Obras",2026-04-30,2026-04,II Trimestre,Femenino,Entre 31 y 40 años,Local,Puno,Gobiernos Locales,Abastecimiento,Jefe,"Planeamiento y Programación, Gestión de Adquisiciones",Superior Universitario,No especificado,MUNICIPALIDAD DISTRITAL DE COPANI,301696,c3c6d45473f2
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Puno","Programación Multianual de Bienes, Servicios y Obras",2026-04-30,2026-04,II Trimestre,Masculino,Entre 20 y 30 años,Regional,Puno,Salud,Programación,Asistente,Planeamiento y Programación,Superior Universitario,No especificado,REDESS SAN ROMÁN - HOSPITAL CARLOS MONGE MEDRANO,917,28e73cb19681
TALLER,PRESENCIAL,"Taller presencial sobre la Programación Multianual de Bienes, Servicios y Obras, en marco del Sistema Nacional de Abastecimiento - Puno","Programación Multianual de Bienes, Servicios y Obras",2026-04-30,2026-04,II Trimestre,Masculino,Mayor a 61 años,Nacional,Puno,Educación,Abastecimiento,Jefe,"Planeamiento y Programación, Gestión de Adquisiciones, Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,No especificado,UNIVERSIDAD NACIONAL INTERCULTURAL AIMARA DE ILAVE,1785,c686e43fc177
